FI,SF,NT,PT,EL,MY,SI,IL,AE,RA,EE,LE,FP,GY,EK,YF,SP,RT,VS,SG,VA,EQ,AG,GG,RS,TV,TG,TP,LA,HN,LG,KF,LS,KY,RR,DG,RG,GD,CS,DD,RD,NG,GN,GT,AV,IC,GE,PD,DC,GK,KG,DE,RY,CE,DR,NY,QG,CD,AY,GR,AD,YA,EC,GS,RA,EG,RK,NC,CK,VD,VR,PAAC14,PAAC4,PAAC25,PAAC26,PAAC11,PAAC19,PAAC22,PAAC52,PAAC5,PAAC32,PAAC12,PAAC51,class
0,1.136363636,0,0,1.282051282,1.785714286,1.652892562,1.398601399,0,0,0,1.282051282,0,0,2.777777778,0,0,0,0,0,2.5,0,6.25,0,2.272727273,0,0,5.555555556,0,0,0,0,1.398601399,0,0.213806032,0.483342096,0.063757024,0.203686557,0.02770226,0.603536913,0.198865481,0.192457457,0.288520941,0.430235378,0.229928773,0.023738553,0.179628305,0.120183254,0.068751076,0.628966837,0.239403826,0.671975502,0.180913042,0.020155546,0.454354237,0.115314097,0.110109695,0.037885639,0.394620657,0.395115774,0.219049963,0.188207447,0.044146225,0.379417837,0.227968915,0.237521933,0.622500385,0.046042273,0.053575858,1.156305801,0.506906578,1.191,1.043,1.762,1.947,2.085,1.191,1.995,1.707,0,1.463,0.894,1.337,0
1.428571429,1.111111111,0,4.166666667,1.26984127,0,0,0,0.476190476,0.892857143,0,0.952380952,0,0,0,0,0,0,0.740740741,1.01010101,0.476190476,0,0.324675325,0.826446281,0.694444444,1.111111111,0.757575758,0,0.340136054,0,1.298701299,0,0.529100529,0,0.714897094,0.476169356,0.565178483,0.053209085,0.165398627,0.546179787,0.721269933,0.31416687,0.169170789,0.772977486,0.979898517,0.053476058,0.292710756,0.175206161,0.034301992,1.398327091,1.153825853,0.818483731,0.349075509,0.06878154,0.92290415,0.092651432,0.291069074,0.078864023,0.369755276,1.007063969,1.22653477,0.367103125,0.032570857,0.537380461,0.518399066,0.56675877,0.355280368,0.802966514,0.095070108,0.339211921,0.48844939,0.872,0.436,1.682,1.712,1.919,0.174,1.864,1.64,0.174,1.819,0.959,1.879,0
0.226244344,0.524475524,0.512820513,0.740740741,0.203252033,0,0,0.717360115,0,0,0,0.203252033,0.213675214,0.454545455,0,0,0.252525253,0,0.454545455,0.454545455,0,4.166666667,0,1.5,0.649350649,0,0.333333333,1.481481481,1.045296167,1.282051282,0.243902439,0,0.66518847,0,0.58409053,0.395183074,0.553290314,0.405662002,0.20989064,0.181630542,0.211209604,0.621271412,0.611246184,2.139948893,1.473608423,0.227931411,0.593583997,0.479108356,0.040183755,0.490510501,0.445004284,0.217606639,0.409517299,0.063938193,0.289692564,0.346171399,0.496881661,0.022949751,0.768559469,0.98151013,0.368382805,0.668561061,0.093510772,2.158981464,0.420523644,0.606797048,0.508646798,0.07114543,0.051287666,0.463503101,0.5351722,2.006,0.386,1.67,1.601,3.24,0.849,1.658,1.7,0.077,1.747,0.771,1.66,0
0.344827586,0.111111111,0.137741047,0.189393939,0.166112957,0.222222222,0,0.123152709,0.132890365,0.10989011,0.270416441,0.083056478,0.625,0,0.310077519,0.166666667,0.277777778,0.174825175,0.069444444,0.256410256,0.089285714,0,0.10989011,0.184911243,0.170940171,0.284090909,0.174825175,0,0.204081633,0.275482094,0.309065934,0,0.079365079,0,2.707070748,3.222206287,1.596263581,2.878391857,1.043664906,3.488203439,2.288024303,4.583520002,2.527581273,3.627787176,2.406802563,1.197632342,3.705139399,2.366206156,0.21244477,1.868837518,2.854263071,3.531351894,0.626026301,0.964519078,2.102048324,0.798955001,0.996604807,0.262899551,1.710461678,1.488441245,2.974401339,2.519843531,1.496705354,3.490941636,1.867122734,2.494746917,1.588979785,0.110392689,0.14764218,3.096143901,1.58367284,0.579,1.68,1.873,1.74,1.622,0.869,1.813,1.859,0.29,1.784,0.869,1.812,1
0.187969925,0,0.230414747,0,0.179802218,0.595238095,0.067385445,0.050301811,0.144248107,0.075329567,0.181077411,0.119868145,0.111982083,0,0,0,0.200722601,0.211640212,0.209643606,0.176100629,0.107613667,0.199468085,0.18079096,0.124444444,0.167714885,0.302343159,0.158730159,0.050658561,0.190976367,0.111234705,0.150234742,0,0.053149083,0,3.962281123,6.034472414,3.914406893,2.8016522,1.7762313,3.518781543,2.230526893,3.273495755,2.933525854,4.520601237,6.73050504,1.031245754,4.565376106,4.675716508,0.632194476,3.507901474,2.072085853,2.46298992,0.700202881,0.3549833,1.58623853,1.382975279,2.599392725,0.585329818,1.331071268,4.390605516,2.788181107,2.028297967,0.952968858,5.775965892,2.718570648,3.580166505,1.641898466,1.162116138,0.308778577,2.83934969,3.520050612,0.445,1.076,1.706,1.814,1.661,0.491,1.775,1.853,0.398,1.771,0.515,1.891,1
0,0,0,0,0,0,0,1.785714286,0,2.040816327,0,0,0,0,2.857142857,0,5.555555556,0,0,0,0,1.428571429,2.040816327,2.040816327,0,0,2.857142857,0,0,0,1.020408163,0,3.174603175,0,0.069325588,0.726895584,0.062633847,0.852821304,0.05338388,0.213822436,0.89929437,0.068001967,0.235525587,0.412064016,0.473862743,0.111693045,0.220919368,0.089449754,0.012121212,1.057068323,0.076603726,0.835832172,0.021838473,0.030557909,0.313722726,0.077744089,0.19206672,0,0.076105265,0.135466536,1.039686988,0.041106798,0.006060606,0.709631202,0.652732766,0.171730173,0.469340603,0.175075758,0.133330693,0.799211793,0.068134896,0.488,0.651,1.824,1.634,2.278,0.163,1.646,1.555,0.488,1.729,0.814,1.745,1
0.2,0.16,0.175438596,0,0.128205128,0.277777778,0.2,0.205128205,0.119047619,0.285714286,0.347222222,0.256410256,0.470588235,0.126262626,0,0.333333333,0.117647059,0.5,0.3,0.363636364,0.285714286,0.490196078,0.194805195,0.154958678,0.2,0.333333333,0.075757576,0,0.131868132,0,0.20979021,0.2,0.184615385,1.111111111,1.572855534,0.919915246,2.012571487,1.044022413,0.400842276,0.894059702,0.382349659,0.792359506,0.861346441,2.497240081,2.753985236,0.374948701,2.024532033,0.612459126,0.139691092,0.971190086,1.105127057,1.566223697,0.473257663,0.268059864,0.832358163,0.687587947,0.447004727,0.075780917,1.536209199,1.046854178,0.883719389,1.40617308,0.943973108,3.708487296,1.464413333,2.23733999,1.350143652,0.080580528,0.077592631,1.299739554,1.152689361,1.938,0.736,1.719,1.704,2.52,0.698,1.701,1.758,0.155,1.761,0.388,1.731,1
0,0,0.769230769,0,0.530503979,0,0.790513834,0,0.549450549,0.396825397,0.591715976,0.795755968,0,0,0.591715976,0,1.086956522,0.555555556,0,0.668896321,0,0.769230769,0,0,0.241545894,0,0,2.5,0,0,0.530503979,0,0.149925037,0,2.32873184,0.432608949,0.639857192,0.580468475,0.307527167,1.486001081,0.772688141,0.422525321,0.561013976,0.508124424,1.160209779,0.052266593,0.774885519,0.400963116,0.073834292,0.403100789,0.510107845,1.600961983,0.162162469,0.080111418,1.019156927,0.228358989,0.3898604,0.049453085,0.173140428,0.46312498,0.814404678,0.16974077,0.136766464,0.872063961,0.786682297,0.679406367,0.967995288,0.052571771,0.135963993,1.271799643,0.472217367,0.23,1.301,1.848,1.755,2.296,0.23,1.82,1.797,0.153,1.827,1.071,1.854,1
0.032375795,0.04206359,0.037370372,0.018876829,0.036824375,0.024987506,0.031437944,0.032457805,0.028118849,0.027703901,0.042694405,0.032732778,0.044918585,0.008297378,0.030381285,0.063471914,0.033898305,0.019171779,0.035354061,0.033639539,0.026106252,0.033886818,0.043311136,0.04661733,0.021186441,0.033874064,0.023415913,0.042472865,0.03074018,0.008905513,0.030723418,0.034608608,0.041979325,0.014055472,8.342420995,11.65783498,5.840374815,9.099016176,0.907470224,14.03864653,8.601424597,6.297794929,8.044343673,7.584417809,12.58493445,0.880133283,10.68267507,7.313338509,0.812452989,9.430813277,10.67255744,14.72702685,4.911997996,1.050246182,8.999582903,3.961239813,7.302092922,0.991041402,3.84544367,5.548849847,13.48116463,5.190746742,0.709994109,15.80984166,10.09771158,14.99623919,9.298779233,0.648833838,1.046917219,15.3164854,10.88408842,0.825,1.252,1.754,1.814,1.951,0.554,1.725,1.777,0.126,1.701,1.397,1.787,1
0.162037037,0.108401084,0.157894737,0.181488203,0.056179775,0.147928994,0.114329268,0.128745318,0.132275132,0,0.138888889,0.131086142,0,0.16722408,0.111111111,0,0.210260723,0.052631579,0.117543344,0.088370449,0.057372347,0,0.092017483,0.105019954,0,0.110970197,0.038138825,0.090744102,0.071339397,0,0.146555936,0.222222222,0.09591669,0.064102564,2.76392798,4.309630711,2.989665493,5.718694636,1.662598681,1.854847684,1.80460911,2.974293184,2.230008192,7.149963901,7.19676144,0.719567899,3.646028433,1.567047449,0.491723111,4.963932761,4.663225897,2.477559306,1.060321406,0.334181362,1.719621731,0.768293295,1.773199535,0.240417181,1.603030271,3.192390969,5.422989305,1.428131073,0.467899066,5.016513664,5.103783394,3.546728815,1.795585155,0.265463729,0.239525567,2.778961613,2.770783269,0.913,1.035,1.722,1.674,1.826,0.527,1.819,1.681,0.568,1.696,1.217,1.705,1
