,PAAC14,PAAC4,PAAC25,PAAC26,PAAC11,PAAC19,PAAC22,PAAC52,PAAC5,PAAC32,PAAC12,PAAC51,class
41,0.5489999999999999,0.9159999999999999,1.821,1.8780000000000001,2.616,0.5760000000000001,1.854,1.828,0.5760000000000001,1.788,1.099,1.6969999999999998,1
42,0.612,0.857,1.742,1.864,1.959,0.49,1.7819999999999998,1.8769999999999998,0.49,1.671,0.245,1.882,1
43,0.198,1.148,1.6969999999999998,1.8090000000000002,2.019,0.35600000000000004,1.694,1.739,0.27699999999999997,1.7790000000000001,1.3459999999999999,1.807,1
44,0.9470000000000001,1.06,1.8119999999999998,1.7819999999999998,2.319,0.679,1.78,1.736,0.212,1.695,1.089,1.784,1
45,0.625,0.625,1.91,1.926,1.77,1.041,1.985,1.597,0.41600000000000004,1.899,1.145,1.8119999999999998,1
46,0.525,0.97,1.7009999999999998,1.7830000000000001,2.385,0.485,1.805,1.831,0.20199999999999999,1.818,1.011,1.724,1
47,0.525,0.97,1.7009999999999998,1.7830000000000001,2.385,0.485,1.805,1.831,0.20199999999999999,1.818,1.011,1.724,1
48,1.1079999999999999,1.1640000000000001,1.79,1.818,1.889,0.9159999999999999,1.7719999999999998,1.739,0.26,1.764,1.09,1.725,1
49,0.978,0.978,1.7209999999999999,1.768,1.4680000000000002,1.4680000000000002,1.715,1.621,1.345,1.672,2.201,1.8719999999999999,1
50,0.8370000000000001,1.4380000000000002,1.7630000000000001,1.778,1.4380000000000002,0.889,1.739,1.84,0.183,1.703,1.334,1.7180000000000002,1
51,0.8190000000000001,0.9940000000000001,1.746,1.828,1.433,0.555,1.794,1.81,0.23399999999999999,1.78,0.8190000000000001,1.736,1
52,0.87,0.9940000000000001,1.788,1.8130000000000002,2.03,0.456,1.798,1.808,0.373,1.829,1.2009999999999998,1.828,1
53,0.774,0.645,1.671,1.645,2.322,1.29,1.466,1.8130000000000002,1.6769999999999998,1.651,1.935,1.673,1
54,0.8490000000000001,0.679,1.7469999999999999,1.8880000000000001,1.7830000000000001,0.764,1.845,1.916,0.425,1.744,1.699,1.804,1
55,0.267,1.422,1.7719999999999998,1.5319999999999998,1.155,0.622,1.8419999999999999,1.5830000000000002,1.244,1.651,1.244,1.766,1
56,0.865,1.39,1.77,1.7690000000000001,1.364,0.682,1.7469999999999999,1.778,0.184,1.736,0.7609999999999999,1.781,1
57,0.851,1.454,1.869,1.761,1.419,0.78,1.765,1.8019999999999998,0.414,1.7530000000000001,1.159,1.804,1
58,1.058,1.663,1.7819999999999998,1.791,1.244,0.698,1.7730000000000001,1.78,0.37200000000000005,1.74,1.3719999999999999,1.801,1
59,1.3969999999999998,1.27,1.9040000000000001,1.675,1.8419999999999999,0.889,1.827,1.6569999999999998,0.508,1.75,0.5720000000000001,1.725,1
60,0.672,1.035,1.7919999999999998,1.831,1.371,0.644,1.6969999999999998,1.7830000000000001,0.22399999999999998,1.735,0.9229999999999999,1.849,1
61,0.96,1.136,1.7790000000000001,1.751,1.9269999999999998,0.451,1.723,1.7269999999999999,0.146,1.754,1.669,1.77,1
62,1.004,1.339,1.841,1.761,1.699,0.863,1.7209999999999999,1.7619999999999998,0.451,1.785,0.85,1.7590000000000001,1
63,0.852,2.556,1.787,1.739,1.5230000000000001,0.6709999999999999,1.655,1.7619999999999998,0.18100000000000002,1.818,1.575,1.749,1
