class,PAAC14,PAAC1,PAAC8,PAAC20,PAAC11,PAAC2,PAAC10,PAAC28,PAAC3,PAAC19,PAAC7,PAAC5
1.0,0.715,1.517,2.427,1.192,0.737,0.932,0.65,1.682,1.3869999999999998,0.802,1.669,0.022
1.0,1.3619999999999999,0.999,1.18,1.3619999999999999,1.453,0.545,1.3619999999999999,1.7719999999999998,1.18,0.817,0.636,0.363
1.0,0.6559999999999999,1.35,1.087,1.406,1.537,1.2,0.919,1.702,0.937,0.769,0.487,0.263
0.0,1.3359999999999999,0.418,0.6679999999999999,1.253,2.756,0.6679999999999999,2.255,1.906,0.919,1.67,0.418,0.418
1.0,0.71,2.969,1.194,1.3869999999999998,1.678,1.3869999999999998,0.32299999999999995,1.798,0.258,0.5489999999999999,0.355,0.355
1.0,0.411,1.834,1.455,1.455,1.739,1.392,0.601,1.797,0.411,0.474,0.221,0.348
1.0,0.748,1.091,1.403,1.559,1.434,0.842,0.842,1.776,0.81,1.029,0.7170000000000001,0.374
1.0,0.6779999999999999,1.404,0.8469999999999999,1.21,2.033,1.017,1.985,1.757,1.089,0.944,0.436,0.242
1.0,0.861,1.0759999999999998,0.6729999999999999,1.641,2.071,1.21,1.264,1.808,0.834,0.888,0.5379999999999999,0.377
1.0,1.048,1.703,0.97,1.258,2.228,1.127,1.232,1.822,0.839,0.7859999999999999,0.446,0.393
1.0,0.751,1.3730000000000002,0.6729999999999999,1.916,1.839,1.476,0.907,1.793,0.621,0.6990000000000001,0.621,0.414
1.0,0.594,3.425,1.0959999999999999,1.05,1.69,2.146,0.274,1.804,0.228,0.32,0.274,0.5479999999999999
1.0,0.86,0.967,0.591,1.665,1.558,1.074,1.558,1.6569999999999998,1.236,0.86,0.698,0.269
0.0,0.7809999999999999,2.108,1.093,1.796,2.108,1.5619999999999998,0.39,1.767,0.078,0.234,0.468,0.39
1.0,0.505,1.666,0.909,1.515,2.222,0.959,0.858,1.686,0.7070000000000001,0.858,0.7070000000000001,0.404
1.0,0.7340000000000001,1.048,0.7859999999999999,1.3619999999999999,1.676,1.153,1.4669999999999999,1.805,0.8379999999999999,1.048,0.471,0.524
1.0,0.37200000000000005,2.287,1.276,1.702,1.808,1.436,0.7979999999999999,1.683,0.425,0.638,0.691,0.532
1.0,0.61,1.5959999999999999,1.549,1.7369999999999999,1.69,1.5019999999999998,0.61,1.808,0.7040000000000001,0.375,0.188,0.469
1.0,0.366,2.407,1.6219999999999999,1.674,1.779,2.041,0.314,1.824,0.314,0.262,0.0,0.314
1.0,0.608,1.051,1.1059999999999999,1.66,1.77,0.9960000000000002,1.77,1.718,0.94,0.7190000000000001,0.7190000000000001,0.277
1.0,0.431,2.801,2.586,1.293,2.586,1.724,1.078,1.638,0.216,0.216,0.216,1.078
1.0,0.73,1.629,1.2919999999999998,1.685,2.584,0.899,1.18,1.7269999999999999,0.674,1.067,0.449,0.618
1.0,0.937,1.213,1.048,1.489,2.426,0.937,2.095,1.723,0.606,0.9930000000000002,0.331,0.662
1.0,0.815,2.158,0.623,1.774,2.254,1.4869999999999999,0.815,1.827,0.6709999999999999,0.7190000000000001,0.43200000000000005,0.43200000000000005
0.0,0.918,1.928,2.57,1.928,2.295,1.102,0.275,1.71,0.551,0.367,0.367,0.184
1.0,0.724,3.172,1.3359999999999999,1.28,2.727,1.4469999999999998,0.557,1.71,0.16699999999999998,0.89,0.056,0.39
1.0,1.015,1.631,1.45,1.269,1.051,0.616,0.7249999999999999,1.698,1.015,0.58,1.16,0.036000000000000004
1.0,0.68,1.79,0.895,0.8590000000000001,2.506,0.68,1.217,1.71,1.754,0.358,1.146,0.107
1.0,0.7120000000000001,1.6909999999999998,1.009,1.305,2.522,0.742,0.8309999999999998,1.81,0.86,0.237,0.92,0.267
1.0,0.892,1.103,1.056,1.549,1.713,0.774,1.291,1.781,1.032,0.938,0.422,0.258
1.0,0.7,0.897,0.985,1.116,1.444,0.941,1.422,1.827,0.919,1.182,0.897,0.35
