class,TW,HM,IQ,RS,PE,MM,DA,AW,PQ,WD,AI,QA,EP,EW,GA,MD,HC,VS,QW,LD,TD,AE,QR,PP,MH,MR,LT,VC,FE,AA,HD,YM,WT,QT
0.0,0.350877193,0.0,0.3220611916,0.0,0.0,0.4115226337,0.2840909091,0.1515151515,0.0,0.2083333333,0.3367003367,0.0,0.7407407407,0.0,0.0,0.0,0.0,0.0,0.14492753619999998,0.0,0.0,0.0,1.7391304347999998,0.0,0.0,0.0,0.0,0.5050505050999999,0.0,0.2066115702,0.0,0.0,0.0,0.4576659039
0.0,0.0,1.3071895425,0.5714285714,0.0,0.0,0.6920415225,0.0,0.3105590062,0.7142857143000001,0.395256917,0.0,0.0,0.0,0.0,0.7936507937,0.5347593583000001,0.0,0.9803921569,0.6521739129999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0204081633,1.0101010101,0.0,0.0,0.0
0.0,0.5639097744,0.0,0.11961722490000003,0.0,0.0,0.0,0.2551020408,0.3826530612,0.0,0.0,0.487012987,0.3759398496,0.0,0.4464285714,0.3571428571,0.2976190476,0.0,0.826446281,0.1879699248,0.0,0.0,0.0,0.0,0.5917159763000001,0.0,0.0,0.0,0.5050505050999999,0.0,0.3826530612,0.0,0.0,0.3759398496,0.0
0.0,0.0,0.0,1.1111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6944444444,0.0,0.0,0.0,1.4705882353,0.0,0.0,1.8518518519,0.0,0.4201680672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.4761904762,0.0,0.1934235977,0.0,0.0,0.4444444444,0.0,0.5012531328000001,0.0,0.5012531328000001,0.1679731243,0.1594896332,0.0,0.0,0.1315789474,0.0,0.0,0.0,0.1443001443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4155124654,0.0,0.0,0.2380952381,0.6060606061
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444,0.0,0.0,0.8928571429,3.0612244898,0.0,0.0,0.0,0.0,0.0,0.390625
0.0,0.0587889477,0.07751937980000001,0.0462962963,0.08340283569999998,0.0,0.0,0.143020595,0.1610305958,0.08445945949999999,0.0730994152,0.0483091787,0.0,0.0,0.0,0.0530222694,0.0877192982,0.0447227191,0.0235238767,0.0578703704,0.0,0.0417710944,0.0,0.0,0.146092038,0.0258397933,0.0,0.0,0.0657462196,0.1576044129,0.0945179584,0.076499388,0.1388888889,0.0587889477,0.1488095238
0.0,0.0,0.0,0.5494505495,0.0,0.0,0.0,0.0,1.1111111111,0.0,1.4285714286000002,0.0,0.0,0.0,0.0,0.0,0.0,1.1111111111,0.8547008547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1111111111,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5847953215999999,0.0,0.0,0.0,0.0,0.0,0.5681818182,1.2345679012,1.0101010101,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.6944444444,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5681818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3888888889,0.0,0.0,0.0
0.0,0.0,0.0,0.1153402537,0.0,0.0,0.1890359168,0.2873563218,0.0,0.0,0.0,0.2704530088,0.0,0.0,0.0,0.3134796238,0.1207729469,0.2580645161,0.0894454383,0.5070993915,0.2136752137,0.2525252525,0.0,0.0,0.2743484225,0.1402524544,0.0,0.0,0.0,0.0,0.1189060642,0.0896057348,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0989010989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.7692307692,0.0,0.2288329519,0.0,0.0,0.0,0.0,0.4120879121,0.0,0.0,0.3759398496,0.4658385092999999,0.0,0.0,0.0,0.0,0.0,0.4347826087,0.5016722408,0.0,0.0,0.0,0.0,0.8888888889,0.0,0.0,0.0,0.0,0.0,0.3826530612,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.2631578947,0.0,0.0,0.30864197530000004,0.1277139208,0.2469135802,0.0,0.4597701149,0.3703703704,0.1949317739,0.0,0.4166666667,0.0,0.0,0.0,0.2770083102,0.701754386,0.3134796238,0.0,0.0,0.0,0.0,0.1915708812,0.0,0.0,0.2506265664,0.0,0.4115226337,0.4756242568,0.0,0.0,0.0
0.0,0.4132231405,0.1488095238,0.1700680272,0.5128205128,0.0,0.0,0.0,0.4132231405,0.0,0.2673796791,0.4329004329,0.3246753247,0.0,0.0,0.0,0.0,0.6944444444,0.0,0.487012987,0.0,0.5347593583000001,0.0,0.3663003663,0.0,0.2976190476,0.3663003663,0.3496503497,0.0,0.0,0.4132231405,0.0,0.0,0.0,0.1623376623
0.0,0.5882352941,0.0,0.3968253968,0.0,0.8888888889,0.0,0.0,0.0,0.4761904762,0.2262443439,0.14619883039999998,0.0,0.0,0.0,0.0,0.2564102564,0.0,0.0,0.3151260504,0.0,0.0,0.0,0.0,0.8888888889,0.2564102564,0.6666666667,0.4166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
